times, nuclei_count
0,10000
1,9702
2,9419
3,9125
4,8844
5,8568
6,8298
7,8029
8,7782
9,7555
10,7307
11,7084
12,6875
13,6666
14,6436
15,6224
16,6019
17,5832
18,5677
19,5497
20,5309
21,5143
22,4998
23,4835
24,4718
25,4591
26,4463
27,4321
28,4180
29,4048
30,3924
31,3807
32,3712
33,3603
34,3498
35,3393
36,3306
37,3211
38,3116
39,3022
40,2928
41,2860
42,2786
43,2696
44,2607
45,2523
46,2453
47,2367
48,2295
49,2223
50,2164
51,2103
52,2032
53,1976
54,1927
55,1868
56,1809
57,1751
58,1697
59,1641
60,1585
61,1548
62,1500
63,1451
64,1405
65,1363
66,1322
67,1285
68,1247
69,1198
70,1174
71,1135
72,1101
73,1070
74,1044
75,1004
76,978
77,948
78,917
79,896
80,860
81,822
82,806
83,782
84,760
85,731
86,715
87,695
88,677
89,659
90,640
91,624
92,603
93,587
94,572
95,550
96,531
97,512
98,495
99,483
100,470
101,452
102,439
103,424
104,409
105,394
106,386
107,376
108,367
109,356
110,344
111,332
112,323
113,311
114,299
115,293
116,282
117,276
118,267
119,261
120,254
121,249
122,242
123,235
124,229
125,222
126,212
127,206
128,199
129,193
130,187
131,184
132,175
133,172
134,163
135,158
136,155
137,145
138,141
139,139
140,135
141,132
142,129
143,122
144,119
145,113
146,109
147,106
148,104
149,103
