time_years,nuclei_count,fraction_remaining,activity,ln_atoms
0.0,100,1.0,-0.0,4.605170185988092
0.1,100,1.0,5.0,4.605170185988092
0.2,99,0.99,30.0,4.59511985013459
0.3,94,0.94,35.0,4.543294782270004
0.4,92,0.92,20.000000000000057,4.5217885770490405
0.5,90,0.9,14.999999999999943,4.499809670330265
0.6000000000000001,89,0.89,5.0,4.48863636973214
0.7000000000000001,89,0.89,5.0,4.48863636973214
0.8,88,0.88,10.0,4.477336814478207
0.9,87,0.87,20.0,4.465908118654584
1.0,84,0.84,14.999999999999943,4.430816798843313
1.1,84,0.84,-0.0,4.430816798843313
1.2000000000000002,84,0.84,-5.684341886080802e-14,4.430816798843313
1.3,84,0.84,5.0,4.430816798843313
1.4,83,0.83,10.000000000000057,4.418840607796598
1.5,82,0.82,5.0,4.406719247264253
1.6,82,0.82,10.0,4.406719247264253
1.7000000000000002,80,0.8,14.999999999999943,4.382026634673881
1.8,79,0.79,20.000000000000057,4.3694478524670215
1.9,76,0.76,25.000000000000057,4.330733340286331
2.0,74,0.74,15.0,4.30406509320417
2.1,73,0.73,5.0,4.290459441148391
2.2,73,0.73,5.0,4.290459441148391
2.3000000000000003,72,0.72,10.0,4.276666119016055
2.4000000000000004,71,0.71,15.000000000000114,4.2626798770413155
2.5,69,0.69,10.0,4.23410650459726
2.6,69,0.69,-0.0,4.23410650459726
2.7,69,0.69,-0.0,4.23410650459726
2.8000000000000003,69,0.69,-0.0,4.23410650459726
2.9000000000000004,69,0.69,1.1368683772161603e-13,4.23410650459726
3.0,69,0.69,-1.1368683772161603e-13,4.23410650459726
3.1,69,0.69,-0.0,4.23410650459726
3.2,69,0.69,-0.0,4.23410650459726
3.3000000000000003,69,0.69,-0.0,4.23410650459726
3.4000000000000004,69,0.69,1.1368683772161603e-13,4.23410650459726
3.5,69,0.69,-1.1368683772161603e-13,4.23410650459726
3.6,69,0.69,10.0,4.23410650459726
3.7,67,0.67,10.0,4.204692619390966
3.8,67,0.67,-0.0,4.204692619390966
3.9,67,0.67,-0.0,4.204692619390966
4.0,67,0.67,-0.0,4.204692619390966
4.1000000000000005,67,0.67,-0.0,4.204692619390966
4.2,67,0.67,-0.0,4.204692619390966
4.3,67,0.67,-0.0,4.204692619390966
4.4,67,0.67,5.000000000000057,4.204692619390966
4.5,66,0.66,10.0,4.189654742026425
4.6000000000000005,65,0.65,10.0,4.174387269895637
4.7,64,0.64,5.000000000000057,4.1588830833596715
4.800000000000001,64,0.64,-0.0,4.1588830833596715
4.9,64,0.64,-0.0,4.1588830833596715
5.0,64,0.64,-0.0,4.1588830833596715
5.1000000000000005,64,0.64,5.000000000000057,4.1588830833596715
5.2,63,0.63,5.000000000000057,4.143134726391533
5.300000000000001,63,0.63,5.0,4.143134726391533
5.4,62,0.62,5.000000000000057,4.127134385045092
5.5,62,0.62,-0.0,4.127134385045092
5.6000000000000005,62,0.62,-0.0,4.127134385045092
5.7,62,0.62,-0.0,4.127134385045092
5.800000000000001,62,0.62,10.000000000000114,4.127134385045092
5.9,60,0.6,20.000000000000057,4.0943445622221
6.0,58,0.58,10.000000000000057,4.060443010546419
6.1000000000000005,58,0.58,-0.0,4.060443010546419
6.2,58,0.58,-0.0,4.060443010546419
6.300000000000001,58,0.58,5.000000000000057,4.060443010546419
6.4,57,0.57,10.0,4.04305126783455
6.5,56,0.56,5.000000000000057,4.02535169073515
6.6000000000000005,56,0.56,-0.0,4.02535169073515
6.7,56,0.56,-0.0,4.02535169073515
6.800000000000001,56,0.56,5.0,4.02535169073515
6.9,55,0.55,5.000000000000057,4.007333185232471
7.0,55,0.55,9.999999999999943,4.007333185232471
7.1000000000000005,53,0.53,20.0,3.970291913552122
7.2,51,0.51,15.0,3.9318256327243257
7.300000000000001,50,0.5,4.999999999999943,3.912023005428146
7.4,50,0.5,10.000000000000028,3.912023005428146
7.5,48,0.48,15.000000000000057,3.871201010907891
7.6,47,0.47,5.000000000000057,3.8501476017100584
7.7,47,0.47,4.999999999999972,3.8501476017100584
7.800000000000001,46,0.46,4.999999999999943,3.828641396489095
7.9,46,0.46,-0.0,3.828641396489095
8.0,46,0.46,-0.0,3.828641396489095
8.1,46,0.46,2.842170943040401e-14,3.828641396489095
8.200000000000001,46,0.46,5.000000000000057,3.828641396489095
8.3,45,0.45,5.000000000000028,3.8066624897703196
8.4,45,0.45,-0.0,3.8066624897703196
8.5,45,0.45,-0.0,3.8066624897703196
8.6,45,0.45,4.999999999999886,3.8066624897703196
8.700000000000001,44,0.44,4.999999999999886,3.784189633918261
8.8,44,0.44,5.000000000000028,3.784189633918261
8.9,43,0.43,15.000000000000057,3.7612001156935624
9.0,41,0.41,10.000000000000028,3.713572066704308
9.1,41,0.41,5.000000000000028,3.713572066704308
9.2,40,0.4,5.000000000000057,3.6888794541139363
9.3,40,0.4,-0.0,3.6888794541139363
9.4,40,0.4,5.000000000000028,3.6888794541139363
9.5,39,0.39,15.000000000000057,3.6635616461296463
9.6,37,0.37,10.000000000000028,3.6109179126442243
9.7,37,0.37,14.999999999999659,3.6109179126442243
9.8,34,0.34,14.999999999999659,3.5263605246161616
9.9,34,0.34,-0.0,3.5263605246161616
10.0,34,0.34,-0.0,3.5263605246161616
10.1,34,0.34,5.0,3.5263605246161616
10.2,33,0.33,5.000000000000057,3.4965075614664802
10.3,33,0.33,5.000000000000057,3.4965075614664802
10.4,32,0.32,10.000000000000057,3.4657359027997265
10.5,31,0.31,5.000000000000028,3.4339872044851463
10.6,31,0.31,5.0,3.4339872044851463
10.7,30,0.3,5.000000000000085,3.4011973816621555
10.8,30,0.3,-2.842170943040401e-14,3.4011973816621555
10.9,30,0.3,-0.0,3.4011973816621555
11.0,30,0.3,5.000000000000028,3.4011973816621555
11.1,29,0.29,5.000000000000028,3.367295829986474
11.2,29,0.29,-0.0,3.367295829986474
11.3,29,0.29,-0.0,3.367295829986474
11.4,29,0.29,-0.0,3.367295829986474
11.5,29,0.29,-0.0,3.367295829986474
11.6,29,0.29,5.0,3.367295829986474
11.7,28,0.28,5.000000000000057,3.332204510175204
11.8,28,0.28,-0.0,3.332204510175204
11.9,28,0.28,-0.0,3.332204510175204
12.0,28,0.28,-0.0,3.332204510175204
12.1,28,0.28,5.000000000000028,3.332204510175204
12.2,27,0.27,5.000000000000057,3.295836866004329
12.3,27,0.27,-0.0,3.295836866004329
12.4,27,0.27,-0.0,3.295836866004329
12.5,27,0.27,-0.0,3.295836866004329
12.6,27,0.27,-0.0,3.295836866004329
12.7,27,0.27,-0.0,3.295836866004329
12.8,27,0.27,5.000000000000057,3.295836866004329
12.9,26,0.26,5.000000000000028,3.258096538021482
13.0,26,0.26,-0.0,3.258096538021482
13.1,26,0.26,-0.0,3.258096538021482
13.2,26,0.26,2.842170943040401e-14,3.258096538021482
13.3,26,0.26,-2.842170943040401e-14,3.258096538021482
13.4,26,0.26,-0.0,3.258096538021482
13.5,26,0.26,-0.0,3.258096538021482
13.6,26,0.26,-0.0,3.258096538021482
13.7,26,0.26,4.9999999999999005,3.258096538021482
13.8,25,0.25,4.999999999999872,3.2188758248682006
13.9,25,0.25,-0.0,3.2188758248682006
14.0,25,0.25,10.000000000000028,3.2188758248682006
14.1,23,0.23,15.000000000000043,3.1354942159291497
14.2,22,0.22,5.000000000000071,3.091042453358316
14.3,22,0.22,5.000000000000057,3.091042453358316
14.4,21,0.21,5.000000000000028,3.044522437723423
14.5,21,0.21,-0.0,3.044522437723423
14.6,21,0.21,-0.0,3.044522437723423
14.7,21,0.21,1.4210854715202004e-14,3.044522437723423
14.8,21,0.21,-1.4210854715202004e-14,3.044522437723423
14.9,21,0.21,-0.0,3.044522437723423
15.0,21,0.21,5.000000000000014,3.044522437723423
15.1,20,0.2,5.000000000000014,2.995732273553991
15.2,20,0.2,-0.0,2.995732273553991
15.3,20,0.2,-0.0,2.995732273553991
15.4,20,0.2,-0.0,2.995732273553991
15.5,20,0.2,-0.0,2.995732273553991
15.6,20,0.2,5.000000000000014,2.995732273553991
15.7,19,0.19,5.000000000000071,2.9444389791664403
15.8,19,0.19,-0.0,2.9444389791664403
15.9,19,0.19,-0.0,2.9444389791664403
16.0,19,0.19,-0.0,2.9444389791664403
16.1,19,0.19,-0.0,2.9444389791664403
16.2,19,0.19,4.9999999999998295,2.9444389791664403
16.3,18,0.18,4.999999999999929,2.8903717578961645
16.400000000000002,18,0.18,-0.0,2.8903717578961645
16.5,18,0.18,-0.0,2.8903717578961645
16.6,18,0.18,-0.0,2.8903717578961645
16.7,18,0.18,-0.0,2.8903717578961645
16.8,18,0.18,-0.0,2.8903717578961645
16.900000000000002,18,0.18,-0.0,2.8903717578961645
17.0,18,0.18,4.999999999999844,2.8903717578961645
17.1,17,0.17,10.000000000000043,2.833213344056216
17.2,16,0.16,10.000000000000043,2.772588722239781
17.3,15,0.15,4.999999999999929,2.70805020110221
17.400000000000002,15,0.15,-0.0,2.70805020110221
17.5,15,0.15,-0.0,2.70805020110221
17.6,15,0.15,10.000000000000384,2.70805020110221
17.7,13,0.13,10.000000000000384,2.5649493574615367
17.8,13,0.13,4.999999999999929,2.5649493574615367
17.900000000000002,12,0.12,4.999999999999844,2.4849066497880004
18.0,12,0.12,-0.0,2.4849066497880004
18.1,12,0.12,5.000000000000199,2.4849066497880004
18.2,11,0.11,5.000000000000199,2.3978952727983707
18.3,11,0.11,-0.0,2.3978952727983707
18.4,11,0.11,-0.0,2.3978952727983707
18.5,11,0.11,-0.0,2.3978952727983707
18.6,11,0.11,-0.0,2.3978952727983707
18.7,11,0.11,4.999999999999837,2.3978952727983707
18.8,10,0.1,10.000000000000028,2.302585092994046
18.9,9,0.09,5.000000000000192,2.1972245773362196
19.0,9,0.09,-0.0,2.1972245773362196
19.1,9,0.09,-0.0,2.1972245773362196
19.200000000000003,9,0.09,-0.0,2.1972245773362196
19.3,9,0.09,-0.0,2.1972245773362196
19.4,9,0.09,-0.0,2.1972245773362196
19.5,9,0.09,-0.0,2.1972245773362196
19.6,9,0.09,-0.0,2.1972245773362196
19.700000000000003,9,0.09,-0.0,2.1972245773362196
19.8,9,0.09,-0.0,2.1972245773362196
19.9,9,0.09,-0.0,2.1972245773362196
20.0,9,0.09,-0.0,2.1972245773362196
20.1,9,0.09,-0.0,2.1972245773362196
20.200000000000003,9,0.09,-0.0,2.1972245773362196
20.3,9,0.09,-0.0,2.1972245773362196
20.4,9,0.09,-0.0,2.1972245773362196
20.5,9,0.09,-0.0,2.1972245773362196
20.6,9,0.09,-0.0,2.1972245773362196
20.700000000000003,9,0.09,-0.0,2.1972245773362196
20.8,9,0.09,-0.0,2.1972245773362196
20.9,9,0.09,-0.0,2.1972245773362196
21.0,9,0.09,-0.0,2.1972245773362196
21.1,9,0.09,-0.0,2.1972245773362196
21.200000000000003,9,0.09,-0.0,2.1972245773362196
21.3,9,0.09,-0.0,2.1972245773362196
21.4,9,0.09,-0.0,2.1972245773362196
21.5,9,0.09,-0.0,2.1972245773362196
21.6,9,0.09,-0.0,2.1972245773362196
21.700000000000003,9,0.09,-0.0,2.1972245773362196
21.8,9,0.09,5.000000000000107,2.1972245773362196
21.9,8,0.08,5.000000000000199,2.0794415416798357
22.0,8,0.08,-0.0,2.0794415416798357
22.1,8,0.08,-0.0,2.0794415416798357
22.200000000000003,8,0.08,-0.0,2.0794415416798357
22.3,8,0.08,-0.0,2.0794415416798357
22.4,8,0.08,-0.0,2.0794415416798357
22.5,8,0.08,-0.0,2.0794415416798357
22.6,8,0.08,-0.0,2.0794415416798357
22.700000000000003,8,0.08,-0.0,2.0794415416798357
22.8,8,0.08,-0.0,2.0794415416798357
22.9,8,0.08,-0.0,2.0794415416798357
23.0,8,0.08,-0.0,2.0794415416798357
23.1,8,0.08,-0.0,2.0794415416798357
23.200000000000003,8,0.08,-0.0,2.0794415416798357
23.3,8,0.08,5.000000000000107,2.0794415416798357
23.4,7,0.07,5.000000000000199,1.9459101490553132
23.5,7,0.07,-0.0,1.9459101490553132
23.6,7,0.07,-0.0,1.9459101490553132
23.700000000000003,7,0.07,-0.0,1.9459101490553132
23.8,7,0.07,5.000000000000107,1.9459101490553132
23.9,6,0.06,5.000000000000192,1.791759469228055
24.0,6,0.06,-0.0,1.791759469228055
24.1,6,0.06,-0.0,1.791759469228055
24.200000000000003,6,0.06,-0.0,1.791759469228055
