time_s,nuclei_count
0,10000
1,9678
2,9366
3,9102
4,8824
5,8546
6,8299
7,8057
8,7818
9,7575
10,7367
11,7150
12,6929
13,6710
14,6525
15,6333
16,6142
17,5993
18,5800
19,5620
20,5469
21,5312
22,5159
23,5018
24,4874
25,4716
26,4588
27,4443
28,4305
29,4188
30,4050
31,3921
32,3800
33,3700
34,3607
35,3504
36,3383
37,3289
38,3192
39,3091
40,2985
41,2889
42,2807
43,2735
44,2647
45,2553
46,2488
47,2424
48,2351
49,2292
50,2225
51,2172
52,2109
53,2038
54,1974
55,1914
56,1866
57,1812
58,1762
59,1708
60,1655
61,1613
62,1559
63,1504
64,1460
65,1411
66,1385
67,1358
68,1310
69,1271
70,1244
71,1213
72,1174
73,1139
74,1105
75,1069
76,1039
77,1008
78,983
79,948
80,914
81,880
82,850
83,822
84,803
85,781
86,755
87,730
88,713
89,695
90,672
91,651
92,635
93,616
94,590
95,570
96,550
97,532
98,520
99,501
100,487
101,469
102,459
103,448
104,439
105,427
106,414
107,396
108,382
109,379
110,367
111,354
112,346
113,333
114,322
115,311
116,302
117,297
118,287
119,279
120,271
121,257
122,250
123,244
124,240
125,231
126,218
127,207
128,201
129,191
130,186
131,179
132,174
133,168
134,164
135,158
136,151
137,143
138,141
139,138
140,133
141,128
142,125
143,123
144,122
145,118
146,114
147,111
148,107
149,102
