time_s,nuclei_count
0,10000
1,9692
2,9426
3,9146
4,8864
5,8614
6,8332
7,8101
8,7857
9,7610
10,7376
11,7153
12,6941
13,6718
14,6497
15,6298
16,6099
17,5927
18,5763
19,5599
20,5430
21,5257
22,5092
23,4926
24,4777
25,4640
26,4512
27,4366
28,4240
29,4120
30,3995
31,3881
32,3749
33,3624
34,3539
35,3448
36,3350
37,3255
38,3180
39,3099
40,3000
41,2911
42,2811
43,2746
44,2659
45,2584
46,2511
47,2433
48,2367
49,2292
50,2215
51,2138
52,2076
53,1996
54,1936
55,1891
56,1842
57,1799
58,1736
59,1681
60,1635
61,1591
62,1536
63,1485
64,1430
65,1390
66,1360
67,1323
68,1284
69,1246
70,1198
71,1162
72,1125
73,1083
74,1055
75,1015
76,985
77,952
78,920
79,884
80,842
81,811
82,783
83,756
84,736
85,717
86,692
87,676
88,658
89,632
90,609
91,588
92,565
93,544
94,531
95,514
96,497
97,484
98,468
99,457
100,442
101,426
102,408
103,396
104,385
105,367
106,355
107,345
108,332
109,327
110,315
111,308
112,296
113,286
114,279
115,267
116,260
117,248
118,241
119,232
120,224
121,214
122,207
123,200
124,194
125,192
126,189
127,185
128,181
129,176
130,170
131,166
132,160
133,155
134,149
135,143
136,137
137,135
138,129
139,128
140,124
141,120
142,113
143,111
144,107
145,103
146,100
147,99
148,95
149,90
