time_years,nuclei_count
0.0,50000
0.1,49364
0.2,48689
0.30000000000000004,48073
0.4,47431
0.5,46806
0.6000000000000001,46180
0.7000000000000001,45549
0.8,44954
0.9,44366
1.0,43792
1.1,43264
1.2000000000000002,42696
1.3,42188
1.4000000000000001,41649
1.5,41099
1.6,40548
1.7000000000000002,40024
1.8,39486
1.9000000000000001,38964
2.0,38444
2.1,37920
2.2,37407
2.3000000000000003,36945
2.4000000000000004,36452
2.5,35980
2.6,35515
2.7,35012
2.8000000000000003,34567
2.9000000000000004,34137
3.0,33656
3.1,33215
3.2,32788
3.3000000000000003,32378
3.4000000000000004,31940
3.5,31506
3.6,31078
3.7,30699
3.8000000000000003,30283
3.9000000000000004,29885
4.0,29499
4.1000000000000005,29138
4.2,28748
4.3,28377
4.4,28008
4.5,27646
4.6000000000000005,27287
4.7,26927
4.800000000000001,26597
4.9,26283
5.0,25962
5.1000000000000005,25570
5.2,25226
5.300000000000001,24888
5.4,24557
5.5,24263
5.6000000000000005,23931
5.7,23619
5.800000000000001,23337
5.9,23081
6.0,22745
6.1000000000000005,22458
6.2,22180
6.300000000000001,21874
6.4,21573
6.5,21314
6.6000000000000005,21044
6.7,20764
6.800000000000001,20511
6.9,20206
7.0,19936
7.1000000000000005,19666
7.2,19424
7.300000000000001,19201
7.4,18938
7.5,18687
7.6000000000000005,18428
7.7,18173
7.800000000000001,17940
7.9,17694
8.0,17470
8.1,17218
8.200000000000001,16979
8.3,16766
8.4,16534
8.5,16298
8.6,16095
8.700000000000001,15868
8.8,15677
8.9,15468
9.0,15295
9.1,15089
9.200000000000001,14862
9.3,14660
9.4,14480
9.5,14289
9.600000000000001,14094
9.700000000000001,13905
9.8,13714
9.9,13527
10.0,13357
10.100000000000001,13179
10.200000000000001,13016
10.3,12853
10.4,12684
10.5,12505
10.600000000000001,12316
10.700000000000001,12137
10.8,12001
10.9,11846
11.0,11697
11.100000000000001,11545
11.200000000000001,11412
11.3,11270
11.4,11117
11.5,10975
11.600000000000001,10834
11.700000000000001,10701
11.8,10571
11.9,10432
12.0,10298
12.100000000000001,10166
12.200000000000001,10036
12.3,9906
12.4,9777
12.5,9641
12.600000000000001,9513
12.700000000000001,9391
12.8,9262
12.9,9159
13.0,9040
13.100000000000001,8929
13.200000000000001,8803
13.3,8690
13.4,8583
13.5,8481
13.600000000000001,8368
13.700000000000001,8263
13.8,8156
13.9,8058
14.0,7946
14.100000000000001,7839
14.200000000000001,7720
14.3,7607
14.4,7509
14.5,7419
14.600000000000001,7319
14.700000000000001,7219
14.8,7116
14.9,7009
15.0,6920
15.100000000000001,6815
15.200000000000001,6721
15.3,6639
15.4,6550
15.5,6449
15.600000000000001,6348
15.700000000000001,6265
15.8,6178
15.9,6105
16.0,6029
16.1,5954
16.2,5860
16.3,5794
16.400000000000002,5713
16.5,5635
16.6,5549
16.7,5476
16.8,5400
16.900000000000002,5312
17.0,5241
17.1,5168
17.2,5091
17.3,5025
17.400000000000002,4966
17.5,4910
17.6,4849
17.7,4789
17.8,4722
17.900000000000002,4654
18.0,4594
18.1,4528
18.2,4483
18.3,4417
18.400000000000002,4359
18.5,4312
18.6,4248
18.7,4179
18.8,4112
18.900000000000002,4052
19.0,4016
19.1,3962
19.200000000000003,3902
19.3,3852
19.400000000000002,3803
19.5,3750
19.6,3707
19.700000000000003,3640
19.8,3576
19.900000000000002,3527
20.0,3492
20.1,3456
20.200000000000003,3414
20.3,3363
20.400000000000002,3324
20.5,3278
20.6,3223
20.700000000000003,3170
20.8,3126
20.900000000000002,3077
21.0,3040
21.1,3002
21.200000000000003,2957
21.3,2924
21.400000000000002,2898
21.5,2864
21.6,2822
21.700000000000003,2784
21.8,2749
21.900000000000002,2720
22.0,2688
22.1,2656
22.200000000000003,2621
22.3,2586
22.400000000000002,2541
22.5,2512
22.6,2477
22.700000000000003,2442
22.8,2406
22.900000000000002,2376
23.0,2333
23.1,2303
23.200000000000003,2277
23.3,2238
23.400000000000002,2207
23.5,2181
23.6,2155
23.700000000000003,2138
23.8,2117
23.900000000000002,2090
24.0,2048
24.1,2019
24.200000000000003,2001
24.3,1974
24.400000000000002,1948
24.5,1924
24.6,1894
24.700000000000003,1867
24.8,1838
24.900000000000002,1812
25.0,1793
25.1,1771
25.200000000000003,1743
25.3,1717
25.400000000000002,1703
